frame_nr,camera_name,elev,x,y,z,camera_lon,camera_lat,fire_lon,fire_lat,smoke_pixel_coord_tl,smoke_pixel_coord_br
14,axis-arcadia1,1788,30.39,0.99,4.2,-118.0255917,34.179723,-118.016569, 34.188404,"(1381,596)","(1877,937)"
43,axis-arcadia1,1788,40.7,0.79,4.2,-118.0255917,34.179723,-118.016569, 34.188404,"(537,485)","(1031,881)"
52,axis-arcadia1,1788,40.69,0.79,2.5,-118.0255917,34.179723,-118.016569, 34.188404,"(621,425)","(1028,712)"
238,axis-arcadial,1788,41.5,0.78,4.7,-118.0255917,34.179723,-118.016569, 34.188404,"(499,684)","(776,903)"
239,axis-arcadial,1788,40.46,0.34,8.0,-118.0255917,34.179723,-118.016569, 34.188404,"(559,633)","(899,836)"
240,axis-arcadial,1788,40.45,0.33,6.4,-118.0255917,34.179723,-118.016569, 34.188404,"(618,621)","(923,844)"
244,axis-arcadial,1788,40.44,0.33,5.3,-118.0255917,34.179723,-118.016569, 34.188404,"(644,624)","(913,825)"
307,axis-arcadia1,1788,40.44,0.32,3.8,-118.0255917,34.179723,-118.016569, 34.188404,"(655,618)","(929,775)"
313,axis-arcadia1,1788,40.44,0.31,1.9,-118.0255917,34.179723,-118.016569, 34.188404,"(801,592)","(929,682)"
323,axis-arcadia1,1788,30.94,1.98,1.9,-118.0255917,34.179723,-118.016569, 34.188404,"(1301,693)","(1407,752)"
325,axis-arcadia1,1788,35.07,1.17,1.9,-118.0255917,34.179723,-118.016569, 34.188404,"(1069,647)","(1203,718)"
340,axis-arcadial,1788,39.29,0.07,14.4,-118.0255917,34.179723,-118.016569, 34.188404,"(779,602)","(1359,901)"
341,axis-arcadial,1788,39.29,0.07,20.7,-118.0255917,34.179723,-118.016569, 34.188404,"(968,510)","(1566,853)"
345,axis-arcadial,1788,39.28,-0.21,64.0,-118.0255917,34.179723,-118.016569, 34.188404,"(1015,528)","(1905,986)"
351,axis-arcadial,1788,39.28,-0.2,27.3,-118.0255917,34.179723,-118.016569, 34.188404,"(822,543)","(1659,898)"
352,axis-arcadia1,1788,39.45,-0.53,18.4,-118.0255917,34.179723,-118.016569, 34.188404,"(713,442)","(1380,847)"
354,axis-arcadial,1788,39.43,-0.51,13.4,-118.0255917,34.179723,-118.016569, 34.188404,"(909,320)","(1293,751)"
439,axis-arcadia1,1788,42.33,2.08,5.4,-118.0255917,34.179723,-118.016569, 34.188404,"(422,790)","(669,1022)"
442,axis-arcadia1,1788,40.26,0.09,5.4,-118.0255917,34.179723,-118.016569, 34.188404,"(615,596)","(882,893)"
443,axis-arcadia1,1788,38.36,-1.89,5.4,-118.0255917,34.179723,-118.016569, 34.188404,"(900,367)","(1104,618)"
448,axis-arcadial,1788,38.38,-1.73,12.4,-118.0255917,34.179723,-118.016569, 34.188404,"(846,380)","(1242,815)"
